company_number,company_name,status,company_type,date_of_creation,address,postcode,locality,region,sic_codes,sic_descriptions,is_truck_commercial,is_mobile,categories
12744497,COOPERS TYRE SERVICES LIMITED,active,ltd,2020-07-15,"Old Concrete, Garden Site, Grimsby, North East Lincs, DN31 3LS",DN31 3LS,Grimsby,North East Lincs,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
01193059,CORNWALL TYRE REPAIR SERVICE LTD,active,ltd,1974-12-09,"Redmoor Road, Kelly Bray, Callington, Cornwall, PL17 7LJ",PL17 7LJ,Callington,Cornwall,22110; 22190,22110: SIC code 22110; 22190: SIC code 22190,False,False,fitting_service
05884586,CORSHAM TYRE SERVICE LIMITED,active,ltd,2006-07-24,"The Grange, The Street, Yatton Keynell, Chippenham, Wiltshire, SN14 7BA",SN14 7BA,Chippenham,Wiltshire,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
16941848,COSTA TYRES SERVICES LTD,active,ltd,2026-01-05,"41 Blacklands Farm Way, Sherfield-On-Loddon, Hook, RG27 0GD",RG27 0GD,Hook,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
04527499,COX'S TYRE & EXHAUST SERVICES LTD,active,ltd,2002-09-05,"161-3 Tat Bank Road, Oldbury, Warley, West Midlands, B69 4NH",B69 4NH,Warley,West Midlands,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
15316743,COYNE TYRE SERVICES LTD,active,ltd,2023-11-29,"39 Bridge Road, Crosby, Liverpool, L23 6SA",L23 6SA,Liverpool,,45320,45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
16868916,CROWN TYRES & SERVICES LTD,active,ltd,2025-11-21,"20 Crown Street, Peterborough, PE1 3HY",PE1 3HY,Peterborough,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
01000021,DALCROSS TYRE SERVICES LIMITED,active,ltd,1971-01-18,"2a Topaz Street, Adamsdown, Cardiff, CF24 1PH",CF24 1PH,Cardiff,,47190,"47190: Retail trade, except of motor vehicles",False,False,fitting_service
SC150440,D & R TYRE SERVICES LIMITED,active,ltd,1994-04-25,"109 Carmichael Street, Glasgow, Lanarkshire, G51 2QU",G51 2QU,Lanarkshire,,43999,43999: SIC code 43999,False,False,fitting_service
07836267,DANNY BESHAW TYRE SERVICES LIMITED,active,ltd,2011-11-04,"New Hall New Hall Close, Dymchurch, Romney Marsh, Kent, TN29 0LE",TN29 0LE,Romney Marsh,Kent,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
13545498,DANS TYRE SERVICES LTD,active,ltd,2021-08-03,"2 Highfield Road, Ashbourne, DE6 1DX",DE6 1DX,Ashbourne,,45200; 45320,45200: Maintenance and repair of motor vehicles; 45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
07651375,DAVE HAGEN TYRE SERVICES LTD,active,ltd,2011-05-31,"Unit 3 Rowan House, Rowan Road Saddlebow, King''s Lynn, PE34 3AJ",PE34 3AJ,King''s Lynn,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
04542776,DAWSON TYRE SERVICES LIMITED,active,ltd,2002-09-23,"Unit 34-35 Staunton Court Ledbury Road, Staunton, Gloucester, GL19 3QS",GL19 3QS,Gloucester,,82990,82990: Other business support service activities n.e.c.,False,False,fitting_service
05081542,DEAN TYRE AND EXHAUST SERVICES LIMITED,active,ltd,2004-03-23,"Unit B Bourton Industrial Park, Bourton-On-The-Water, Cheltenham, Gloucestershire, GL54 2HQ",GL54 2HQ,Cheltenham,Gloucestershire,45200; 45320,45200: Maintenance and repair of motor vehicles; 45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
11286083,DEFOE TYRES & SERVICES LTD,active,ltd,2018-04-03,"1a Defoe Road, Stoke Newington, London, N16 0EP",N16 0EP,Stoke Newington,London,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
03836089,DENMEAD TYRE SERVICES LIMITED,active,ltd,1999-09-03,"Elite House Star Road, Partridge Green, Horsham, RH13 8RA",RH13 8RA,Horsham,,47990,"47990: Other retail sale not in stores, stalls or markets",False,False,fitting_service
11506303,DERBY TYRE & SERVICES LIMITED,active,ltd,2018-08-08,"Unit 1, 74-79 Pear Tree Road, Derby, DE23 6QA",DE23 6QA,Derby,,96090,96090: Other personal service activities n.e.c.,False,False,fitting_service
12872268,D.G.S TYRE AND GARAGE SERVICES LTD,active,ltd,2020-09-10,"87 Commercial Road, Pontardawe, Swansea, SA8 4SL",SA8 4SL,Swansea,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
12938737,DIAMOND TYRE SERVICE LTD,active,ltd,2020-10-08,"Diamond Tyre Service Leestone Road, Sharston Industrial Area, Manchester, M22 4RB",M22 4RB,Manchester,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
SC865525,DIAMOND TYRE SERVICE DERBY LIMITED,active,ltd,2025-10-07,"33 Kerr Drive, Glasgow, G40 2QS",G40 2QS,Glasgow,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
16619576,DIDCOT TYRE SERVICES - DTS LTD,active,ltd,2025-07-31,"1 Park Road, Didcot, OX11 8QL",OX11 8QL,Didcot,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
15134334,DIRECT TYRE SERVICES LTD,active,ltd,2023-09-12,"Bell Place, Bell Place, Wolverhampton, West Midlands, WV2 4LY",WV2 4LY,Wolverhampton,West Midlands,45320,45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
05847441,DIRECT TYRE SERVICES & MOT CENTRE LIMITED,active,ltd,2006-06-15,"Suite 1 Aireside House, Royd Ings Avenue, Keighley, West Yorkshire, BD21 4BZ",BD21 4BZ,Keighley,West Yorkshire,45310,45310: Wholesale trade of motor vehicle parts and accessories,False,False,fitting_service
08622092,DORSET TYRE SERVICES LIMITED,active,ltd,2013-07-24,"4 Cedar Park, Cobham Road Ferndown Industrial Estate, Wimborne, Dorset, BH21 7SF",BH21 7SF,Wimborne,Dorset,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
11227511,DRAYTON TYRE SERVICES LTD,active,ltd,2018-02-27,"41 Cheshire Street, Market Drayton, Shropshire, TF9 1PH",TF9 1PH,Market Drayton,Shropshire,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
14671291,DUDLEY ROAD TYRE SERVICES LTD,active,ltd,2023-02-17,"141 Dudley Road East, Oldbury, B69 3DU",B69 3DU,Oldbury,,45320,45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
09276938,DYNES TYRE SERVICES LTD,active,ltd,2014-10-23,"391 Erith Road, Erith, Kent, DA8 3LT",DA8 3LT,Erith,Kent,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
10561842,EASIFIT TYRES AND SERVICE CENTRE LTD,active,ltd,2017-01-13,"24 Wavertree Court, Ellesmere Port, Cheshire, CH66 1RN",CH66 1RN,Ellesmere Port,Cheshire,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
00310506,EAST GRINSTEAD TYRE SERVICE LIMITED,active,ltd,1936-02-17,"East Grinstead Tyre Services, 213/217 London Road, East Grinstead, West Sussex, RH19 1HD",RH19 1HD,East Grinstead,West Sussex,45200; 45320,45200: Maintenance and repair of motor vehicles; 45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
10363054,"EAST LONDON TYRE, MOT AND ALIGNMENT SERVICES LTD",active,ltd,2016-09-07,"53 Grand Union Crescent, London, E8 4TR",E8 4TR,London,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
06139524,EAST MIDLANDS TYRE SERVICES LTD,active,ltd,2007-03-06,"19 Cleburne Close Cleburne Close, Stanwick, Wellingborough, NN9 6TN",NN9 6TN,Wellingborough,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
07086475,EAST PECKHAM M.O.T SERVICE & TYRE CENTRE LIMITED,active,ltd,2009-11-25,"Front Rhs, 104 Branbridges Road, East Peckham, Tonbridge, Kent, TN12 5HH",TN12 5HH,Tonbridge,Kent,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
01384440,EAST RIDING TYRE SERVICES LIMITED,active,ltd,1978-08-16,"PO BOX 83, Elsworth House, 94 Alfred Gelder Street, Hull, HU1 2AL",HU1 2AL,94 Alfred Gelder Street,Hull,,,False,False,fitting_service
16297396,ECONOMY TYRE SERVICES LTD,active,ltd,2025-03-06,"984 Christchurch Road, Bournemouth, BH7 6DW",BH7 6DW,Bournemouth,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
11797719,E4 TYRES AND SERVICE LTD,active,ltd,2019-01-30,"105 Chingford Mount Road, London, E4 8LU",E4 8LU,London,,45320,45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
08281446,EG TYRE SERVICES LTD,active,ltd,2012-11-05,"31 Martin Drive, Stone, Dartford, DA2 6BF",DA2 6BF,Dartford,,45320,45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
NI602434,ELITE TYRE SERVICES (IRELAND) LTD,active,ltd,2010-03-10,"3 Grieve Park, Artigarvan, Strabane, BT82 0BW",BT82 0BW,Strabane,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
09172459,ELLAND TYRE & EXHAUST SERVICES LTD,active,ltd,2014-08-12,"Heritage Exchange, South Lane, Elland, HX5 0HG",HX5 0HG,Elland,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
00740187,ELMBRIDGE TYRE SERVICES LIMITED,active,ltd,1962-11-07,"C/O Micheldever Tyre Services Limited Micheldever Station, Andover Road, Winchester, SO21 3AP",SO21 3AP,Winchester,,99999,99999: SIC code 99999,False,False,fitting_service
16807519,EMLYN STREET TYRE SERVICES LIMITED,active,ltd,2025-10-24,"43 Emlyn Street, Barrow-In-Furness, LA14 1QS",LA14 1QS,Barrow-In-Furness,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
10724727,EMSWORTH TYRE SERVICES LTD,active,ltd,2017-04-13,"Unit 8 Palmers Road Industrial Estate, Emsworth, PO10 7DH",PO10 7DH,Emsworth,,45400,"45400: Sale, maintenance and repair of motorcycles and related parts and accessories",False,False,fitting_service
06692464,E12 TYRES & SERVICES LTD,active,ltd,2008-09-09,"2 Rectory Road, Manor Park, London, E12 6JA",E12 6JA,Manor Park,London,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
14955291,E T SERVICE & TYRES LIMITED,active,ltd,2023-06-23,"191a Forest Road, London, E17 6HE",E17 6HE,London,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
05946619,EVANS TYRE SERVICES LIMITED,active,ltd,2006-09-26,"Chancery House, 30 St Johns Road, Woking, Surrey, GU21 7SA",GU21 7SA,Woking,Surrey,96090,96090: Other personal service activities n.e.c.,True,False,truck_commercial; fitting_service
10213689,EVERGREEN TYRE SERVICES LTD,active,ltd,2016-06-03,"Yard 3 Prospect Place, Skelmersdale, WN8 9QD",WN8 9QD,Skelmersdale,,33170,33170: SIC code 33170,False,False,fitting_service
15745616,EV TYRE SERVICES LIMITED,active,ltd,2024-05-28,"Flat 3 29 Bridgegate, Howden, Goole, DN14 7JG",DN14 7JG,Goole,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
05509648,FAIRWAY TYRE & AUTO SERVICES LIMITED,active,ltd,2005-07-15,"Five Ways, 57-59 Hatfield Road, Potters Bar, Hertfordshire, EN6 1HS",EN6 1HS,Potters Bar,Hertfordshire,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
06914919,FAIRWAY TYRE & AUTO SERVICES RICKMANSWORTH LIMITED,active,ltd,2009-05-26,"3 Doolittle Yard Froghall Road, Ampthill, Bedford, MK45 2NW",MK45 2NW,Bedford,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
07253753,FAIRWAY TYRE & AUTO SERVICES WATFORD LIMITED,active,ltd,2010-05-14,"Fawley House 2 Regatta Place, Marlow Road, Bourne End, Buckinghamshire, SL8 5TD",SL8 5TD,Bourne End,Buckinghamshire,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
SC563719,FALKIRK TYRE SERVICES LTD,active,ltd,2017-04-20,"20 Westergreens Avenue, Kirkintilloch, Glasgow, G66 4AQ",G66 4AQ,Glasgow,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
09121986,FARM TYRE SERVICES LTD,active,ltd,2014-07-08,"10 Watermark Way Foxholes Business Park, Hertford, Hertfordshire, SG13 7TZ",SG13 7TZ,Hertford,Hertfordshire,45320,45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
15910112,FARM TYRE SERVICES (SE) LTD,active,ltd,2024-08-21,"10 Watermark Way, Foxholes Business Park, Hertford, SG13 7TZ",SG13 7TZ,Hertford,,45320,45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
16851247,FAST FIT TYRES AND SERVICES LTD,active,ltd,2025-11-12,"Rare Of 228-230 High Road, London, N22 8HH",N22 8HH,London,,45320,45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
16160724,FAST FIX TYRE SERVICE LTD,active,ltd,2025-01-02,"2 Callthorpe Close, Bolton, BL1 2JZ",BL1 2JZ,Bolton,,45310,45310: Wholesale trade of motor vehicle parts and accessories,False,False,fitting_service
11102019,FA TYRES SERVICES LIMITED,active,ltd,2017-12-07,"Unit 1 College Road North, Aston Clinton, Aylesbury, HP22 5EZ",HP22 5EZ,Aylesbury,,45112; 45320,45112: Wholesale and retail trade; repair of motor vehicles; 45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
16796705,FENGATE TYRES & SERVICES LTD,active,ltd,2025-10-20,"Aspect House, Fengate, Peterborough, PE1 5XG",PE1 5XG,Peterborough,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
SC564350,FINNIE'S TYRE SERVICES LIMITED,active,ltd,2017-04-26,"17 Inaclete Road Stornoway, Isle Of Lewis, HS1 2RB",HS1 2RB,Isle Of Lewis,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
NI695243,FINTONA TYRE SERVICE LTD,active,ltd,2023-03-08,"193 Tattyreagh Road Fintona, Omagh, Co Tyrone, BT78 2HS",BT78 2HS,Omagh,Co Tyrone,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
05648709,FIRST CALL TYRE SERVICES LIMITED,active,ltd,2005-12-08,"Ashford House, 95 Dixons Green Road, Dudley, West Midlands, DY2 7DJ",DY2 7DJ,Dudley,West Midlands,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
16672196,5 STAR TYRES AND SERVICES LIMITED,active,ltd,2025-08-26,"Unit 9/10 Factory Road, Blaydon, NE21 5SA",NE21 5SA,Blaydon,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
LP008721,FLINTSTONE TYRE SERVICES,active,limited-partnership,2003-06-17,"116 Botley Road, Park Gate, Southampton, SO31 1BA",SO31 1BA,Southampton,,,,False,False,fitting_service
04704200,FLITWICK TYRE & BATTERY SERVICES LTD,active,ltd,2003-03-19,"Station Road, Flitwick, Bedfordshire, MK45 1JR",MK45 1JR,Bedfordshire,,82990,82990: Other business support service activities n.e.c.,False,False,fitting_service
SC499277,FORFAR TYRE SERVICES LTD,active,ltd,2015-03-02,"9 Whitehills Crescent, Forfar, Angus, DD8 3DZ",DD8 3DZ,Forfar,Angus,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
NI631436,FOSTERS TYRE SERVICES LIMITED,active,ltd,2015-05-21,"19 Mullaghglass Road, Lisburn, BT28 3SN",BT28 3SN,Lisburn,,45320,45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
NI676006,FOSTERS TYRE SERVICES (2021) LTD,active,ltd,2021-01-29,"19 Mullaghglass Road, Lisburn, BT28 3SN",BT28 3SN,Lisburn,,45320,45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
08528221,FURNESS TYRE SERVICES LTD,active,ltd,2013-05-14,"1 Middleton Avenue, Barrow In Furness, LA13 9HN",LA13 9HN,Barrow In Furness,,45320,45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
10867320,GABBY TYRES AND SERVICES LIMITED,active,ltd,2017-07-14,"490 West Green Road, London, N15 3DA",N15 3DA,London,,45320,45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
12369975,G&H TYRE SERVICES LTD,active,ltd,2019-12-18,"88 Springfield Road, Rowde, Wiltshire, SN10 2PD",SN10 2PD,Rowde,Wiltshire,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
02531072,G & S TYRE SERVICES LIMITED,active,ltd,1990-08-15,"Leytonstone House 3 Hanbury Drive, Leytonstone, London, E11 1GA",E11 1GA,London,,46900,46900: Non-specialised wholesale trade,False,False,fitting_service
00322004,"GARAGE TYRE SERVICES,LIMITED",active,ltd,1936-12-17,"Cavvys Yard, 87 Fengate, Peterborough, Cambridgeshire, PE1 5BA",PE1 5BA,Peterborough,Cambridgeshire,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
10615249,GARSTANG TYRE SERVICES LIMITED,active,ltd,2017-02-13,"Clarke And Pulman Langley Place, Burscough Industrial Estate, Ormskirk, Lancashire, L40 8JS",L40 8JS,Ormskirk,Lancashire,45200; 45320,45200: Maintenance and repair of motor vehicles; 45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
SC857401,GB TYRES SERVICES LTD,active,ltd,2025-07-31,"61 St Karhrines Crescent, Edinburgh, EH16 6PX",EH16 6PX,Edinburgh,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
01252371,GEORGE TYRE SERVICES LIMITED,active,ltd,1976-03-31,"118 Wantz Road, Maldon, Essex, CM9 5DE",CM9 5DE,Essex,,45310; 45320,45310: Wholesale trade of motor vehicle parts and accessories; 45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
08680542,GERMAN TYRES AND SERVICES LTD,active,ltd,2013-09-06,"1a Avondale Street, Wakefield, WF2 8DP",WF2 8DP,Wakefield,,96090,96090: Other personal service activities n.e.c.,False,False,fitting_service
11143849,GET A GRIP TYRE & MECHANICAL SERVICES LIMITED,active,ltd,2018-01-10,"The Big Wheatyard, Unit 12 High Road, High Cross, Ware, SG11 1BE",SG11 1BE,Ware,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
OC416171,G H TYRE SERVICES LLP,active,llp,2017-03-01,"31-35 Adam Street, Burnham-On-Sea, TA8 1PG",TA8 1PG,Burnham-On-Sea,,,,False,False,fitting_service
09620911,GILLINGHAM TYRE SERVICES LTD,active,ltd,2015-06-03,"20 High Street, Shaftesbury, Dorset, SP7 8JG",SP7 8JG,Shaftesbury,Dorset,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
01608659,GLEN TYRE SERVICES LIMITED,active,ltd,1982-01-19,"1386 London Road, Essex, SS9 2UJ",SS9 2UJ,Essex,,82990; 96090,82990: Other business support service activities n.e.c.; 96090: Other personal service activities n.e.c.,False,False,fitting_service
01025713,GLOSSOP TYRE AND BATTERY SERVICE LIMITED,active,ltd,1971-09-30,"Fir Tree Farm, Swettenham Heath, Congleton, Cheshire, CW12 2LW",CW12 2LW,Congleton,Cheshire,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
NI718157,GMD TYRE & SERVICE CENTRE LTD,active,ltd,2024-07-10,"29 Kevlin  Road, Omagh, Tyrone, BT78 1JR",BT78 1JR,Omagh,Tyrone,45112; 45200,45112: Wholesale and retail trade; repair of motor vehicles; 45200: Maintenance and repair of motor vehicles,False,False,fitting_service
06884194,G M TYRE SERVICES LIMITED,active,ltd,2009-04-22,"Chandos House, School Lane, Buckingham, Buckinghamshire, MK18 1HD",MK18 1HD,Buckingham,Buckinghamshire,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
SC641031,G15 SERVICE AND TYRE CENTRE LIMITED,active,ltd,2019-09-09,"C/O Kpp Chartered Accountants Unit 3, Morris Park, 37 Rosyth Road, Glasgow, G5 0YE",G5 0YE,Glasgow,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
08623802,GORSEINON TYRE & SERVICE CENTRE LTD,active,ltd,2013-07-25,"42 Glanymor Park Drive, Loughor, Swansea, SA4 6UQ",SA4 6UQ,Swansea,,33170,33170: SIC code 33170,False,False,fitting_service
16735079,GOSPORT TYRE SERVICES LIMITED,active,ltd,2025-09-22,"5 Chapel Square, Gosport, PO12 3BQ",PO12 3BQ,Gosport,,45200; 45320,45200: Maintenance and repair of motor vehicles; 45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
16532518,GRAYS TYRES & CAR SERVICES TEMPLE FORTUNE LTD,active,ltd,2025-06-20,"1013 Finchley Road, London, NW11 7ES",NW11 7ES,London,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
16589508,GREAT BRIDGE TYRE SERVICE 1 LTD,active,ltd,2025-07-17,"Imperial Service Station 317 Oxford Street, Bilston, WV14 8AA",WV14 8AA,Bilston,,81299,81299: Services to buildings and landscape activities,False,False,fitting_service
16415557,GREAT TYRES & SERVICE CENTRE LTD,active,ltd,2025-04-29,"594 Walsall Road, Great Wyrley, Walsall, Westmidlands, WS6 6AG",WS6 6AG,Walsall,Westmidlands,45200; 45320,45200: Maintenance and repair of motor vehicles; 45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
09068198,GREENAWAYS TYRE AND EXHAUST SERVICES LTD,active,ltd,2014-06-03,"Prospect House, 11 Western Road, Launceston, Cornwall, PL15 7AS",PL15 7AS,Launceston,Cornwall,45200; 45320,45200: Maintenance and repair of motor vehicles; 45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
NI609784,GREER'S TYRE SERVICES LTD,active,ltd,2011-11-03,"Unit 2 Station Rd Ind Estate, Station Rd, Magherafelt, Bt45 5ey, BT45 5EY",BT45 5EY,Magherafelt,Bt45 5ey,45310,45310: Wholesale trade of motor vehicle parts and accessories,False,False,fitting_service
00518182,HADLEIGH TYRE SERVICES LIMITED,active,ltd,1953-04-01,"Blofield Business Centre Woodbastwick Road, Blofield, Norwich, NR13 4RR",NR13 4RR,Norwich,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
08954885,HALKIN TYRE SERVICES LIMITED,active,ltd,2014-03-24,"130 Halkin Street, Leicester, LE4 6JW",LE4 6JW,Leicester,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
10113484,H&H TYRE AND SERVICE CENTRE LTD,active,ltd,2016-04-08,"435 High Road, Ilford, Essex, IG1 1TR",IG1 1TR,Ilford,Essex,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
09621538,HANSONS TYRE SERVICES (BRIGG) LTD,active,ltd,2015-06-03,"Unit 1, Island Carr Industrial Estate,, Island Carr Industrial Estate,, Brigg,, Lincolnshire,, DN20 8PD",DN20 8PD,"Brigg,","Lincolnshire,",45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
07805922,HARLESTON TYRE SERVICES LIMITED,active,ltd,2011-10-11,"3a-3c Fuller Road, Harleston, Norfolk, IP20 9EA",IP20 9EA,Harleston,Norfolk,45320,45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
15490884,HARROW 5 STAR TYRES & SERVICES LTD,active,ltd,2024-02-14,"2a Blawith Road, Harrow, HA1 1TN",HA1 1TN,Harrow,,45200,45200: Maintenance and repair of motor vehicles,False,False,fitting_service
00690399,HAWLEYS (TYRE SERVICES) LIMITED,active,ltd,1961-04-20,"Micheldever Station Andover Road, Winchester, Hampshire, SO21 3AP",SO21 3AP,Hampshire,,99999,99999: SIC code 99999,False,False,fitting_service
10752862,HAYCOCK TYRE SERVICES LIMITED,active,ltd,2017-05-03,"11 Fieldfare Lane, Norton, Stockton-On-Tees, TS20 1LJ",TS20 1LJ,Stockton-On-Tees,,45320,45320: Retail trade of motor vehicle parts and accessories,False,False,fitting_service
