name,category,is_truck,is_mobile,company_number,status,phone,email,website,address,postcode,region,verified,source
FAST FIT COMMERCIAL TYRES LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,15947304,active,,,,"6 St. Georges Square, Portsmouth, England, PO1 3EY",,,Yes,Companies House API
FLEET TYRE NETWORK LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,07888473,active,,,,"Micheldever Station, Winchester, SO21 3AP",SO21 3AP,Hampshire,Yes,Companies House API
FLEET TYRES DIRECT LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,09289284,active,,,,"Unit 55 Brunel Road, Bedford, MK41 9TJ",MK41 9TJ,,Yes,Companies House API
FLEETLINE TYRE SERVICES LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,06292620,active,,,,"Unit 1 Pearsall Drive, Oldbury, B69 2RA",B69 2RA,West Midlands,Yes,Companies House API
HARRY'S TRUCK TYRES LTD,Truck Tyre (Fixed/Unknown),Yes,No,16009864,active,,,,"200 Knolton Way, Slough, SL2 5RS",SL2 5RS,Berkshire,Yes,Companies House API
J.S COMMERCIAL TYRES LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,16100479,active,,,,"23 Turnberry Court Bentley, Doncaster, South Yorkshire, England, DN5 0UL",,,Yes,Companies House API
JUST TYRES COMMERCIAL (NW) LTD,Truck Tyre (Fixed/Unknown),Yes,No,12789756,active,,,,"Suite 4 48 Westgate, Skelmersdale, England, WN8 8AZ",,,Yes,Companies House API
P B TYRES COMMERCIAL LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,15322563,active,,,,"P B Tyres Bank Street, Golborne, Warrington, Cheshire, England, WA3 3SN",,,Yes,Companies House API
P.A. RISK COMMERCIAL TYRE SERVICES LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,04486928,active,,,,"12 Station Court, Station Approach, Wickford, Essex, SS11 7AT",,,Yes,Companies House API
RMG HGV & TYRES LTD,Truck Tyre (Fixed/Unknown),Yes,No,16703486,active,,,,"23 Lowfield Drive, Askern, Doncaster, DN6 0FS",DN6 0FS,,Yes,Companies House API
ROADSTAR COMMERCIAL TYRES LTD,Truck Tyre (Fixed/Unknown),Yes,No,16581991,active,,,,"3 Ferndown, Crawley, England, RH10 3SB",,,Yes,Companies House API
SOUTH WEST COMMERCIAL TYRES LTD,Truck Tyre (Fixed/Unknown),Yes,No,16339735,active,,,,"South West Crane Hire Tan Lane, St Thomas, Exeter, Devon, United Kingdom, EX2 8EG",,,Yes,Companies House API
SOUTHERN TYRES (COMMERCIAL) LIMITED,Truck Tyre (Fixed/Unknown),Yes,No,09414873,active,,,,"Tructyre House Princesway North, Team Valley, Gateshead, England, NE11 0NF",,,Yes,Companies House API
