name,website,website_verified,is_truck_tyre,phone,email,size,employees,revenue_estimate,revenue_low,revenue_high,revenue_indicators,services,address,company_number,source
RMG HGV & TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"23 Lowfield Drive, Askern, Doncaster, United Kingdom, DN6 0FS",16703486,Companies House
COMMERCIAL TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Vantage Quay, 5 Brewer Street, Manchester, England, M1 2ER",10615294,Companies House
COMMERCIAL TYRE SERVICES (BRISTOL) LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Unit 5 Willment Way, Bristol, England, BS11 8DJ",11334504,Companies House
COMMERCIAL TYRES OFF HIGHWAY LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Tructyre House Princesway North, Team Valley, Gateshead, England, NE11 0NF",08555956,Companies House
COMMERCIAL TYRE SOLUTIONS LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",15143167,Companies House
COMMERCIAL TYRE SUPPLIES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"6a Cissplatt Lane,, Keelby,, DN41 8HU",07754686,Companies House
ACE TYRES COMMERCIAL LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"304 High Street, Orpington, Kent, United Kingdom, BR6 0NF",10512275,Companies House
AM COMMERCIAL TYRE’S LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"5 Cables Wynd House, Edinburgh, Scotland, EH6 6DF",SC846604,Companies House
ASHFORD COMMERCIAL TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"57 Kingsmead Avenue, Sunbury On Thames, Middlesex, TW16 5HL",07322542,Companies House
BARTON COMMERCIAL TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Barton Lorry Park, Barton, Richmond, North Yorishire, DL10 6NB",02039874,Companies House
BLACK COUNTRY COMMERCIAL & TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"36 Lichfield Street, Walsall, England, WS1 1TJ",15504034,Companies House
CENTRAL TYRE (COMMERCIAL) LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Etel House, Avenue One, Letchworth Garden City, Hertfordshire, SG6 2HU",07760510,Companies House
CLASSIC COMMERCIAL AND TYRE LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"26 Harmer Street, Gravesend, England, DA12 2AX",15485268,Companies House
COMMERCIAL CONTRACT TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"38 Chelsworth Avenue, Ipswich, Suffolk, United Kingdom, IP4 3AY",04232039,Companies House
EAST DENE COMMERCIAL TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"7 East Crescent, Rotherham, England, S65 2RT",13300388,Companies House
FAST FIT COMMERCIAL TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"6 St. Georges Square, Portsmouth, England, PO1 3EY",15947304,Companies House
J.S COMMERCIAL TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"23 Turnberry Court Bentley, Doncaster, South Yorkshire, England, DN5 0UL",16100479,Companies House
JUST TYRES COMMERCIAL (NW) LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Suite 4 48 Westgate, Skelmersdale, England, WN8 8AZ",12789756,Companies House
P.A. RISK COMMERCIAL TYRE SERVICES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"12 Station Court, Station Approach, Wickford, Essex, SS11 7AT",04486928,Companies House
P B TYRES COMMERCIAL LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"P B Tyres Bank Street, Golborne, Warrington, Cheshire, England, WA3 3SN",15322563,Companies House
ROADSTAR COMMERCIAL TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"3 Ferndown, Crawley, England, RH10 3SB",16581991,Companies House
SOUTHERN TYRES (COMMERCIAL) LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Tructyre House Princesway North, Team Valley, Gateshead, England, NE11 0NF",09414873,Companies House
SOUTH WEST COMMERCIAL TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"South West Crane Hire Tan Lane, St Thomas, Exeter, Devon, United Kingdom, EX2 8EG",16339735,Companies House
TT COMMERCIAL TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"72 Springfield Avenue, Shirehampton, Bristol, England, BS11 9TQ",16846304,Companies House
TYRE FIGHTER COMMERCIAL LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"5 Mayfield Grove, Dundee, Scotland, DD4 7GZ",SC774234,Companies House
TYRES (NORTHAMPTON) COMMERCIAL LLP,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"3 Warren Yard, Warren Park Stratford Road, Milton Keynes, Buckinghamshire, MK12 5NW",OC305378,Companies House
WESSEX COMMERCIAL TYRES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"139 Engineer Road, West Wilts Trading Estate, Westbury, Wiltshire, England, BA13 4JW",06686704,Companies House
WIRRAL TYRES & COMMERCIAL LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"16 Bassendale Road, Croft Business Park Bromborough, Wirral, CH62 3QL",05980097,Companies House
FLEET TYRE NETWORK LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Micheldever Station, Winchester, Hampshire, SO21 3AP",07888473,Companies House
FLEET TYRES DIRECT LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Unit 55 Brunel Road, Bedford, MK41 9TJ",09289284,Companies House
DW TYRE & FLEET SERVICES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"42 Birkdale Cop, Southport, United Kingdom, PR8 5DT",15359069,Companies House
FLEETLINE TYRE SERVICES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"Unit 1 Pearsall Drive, Oldbury, West Midlands, England, B69 2RA",06292620,Companies House
FLEET MOBILE TYRES LTD,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"71-75 Shelton Street, Covent Garden, London, United Kingdom, WC2H 9JQ",16808697,Companies House
TYRE FLEET SERVICES LIMITED,,False,,,,Small,1-5,£50K - £300K,50000,300000,Small,,"4385, 15959838 - COMPANIES HOUSE DEFAULT ADDRESS, Cardiff, CF14 8LH",15959838,Companies House
